Group	Skill	Cap	Points
Spaceship Command	Gallente Frigate	4	90510
Spaceship Command	Gallente Industrial	1	1000
Resource Processing	Gas Cloud Harvesting	2	1414
Missiles	Guided Missile Precision	3	40000
Gunnery	Gunnery	5	256000
Scanning	Hacking	3	24000
Missiles	Heavy Assault Missile Specialization	3	40000
Missiles	Heavy Assault Missiles	5	768000
Drones	Heavy Drone Operation	4	226274
Missiles	Heavy Missile Specialization	3	40000
Missiles	Heavy Missiles	5	768000
Navigation	High Speed Maneuvering	3	40000
Armor	Hull Upgrades	5	512000
Rigging	Hybrid Weapon Rigging	3	24000
Production	Industry	5	256000
Neural Enhancement	Infomorph Psychology	1	250
Rigging	Jury Rigging	3	16000
Armor	Kinetic Armor Compensation	2	2828
Shields	Kinetic Shield Compensation	2	2828
Gunnery	Large Energy Turret	4	226274
Gunnery	Large Hybrid Turret	4	226274
Gunnery	Large Projectile Turret	4	226274
Rigging	Launcher Rigging	3	24000
Fleet Support	Leadership	3	8000
Drones	Light Drone Operation	5	256000
Missiles	Light Missile Specialization	3	24000
Missiles	Light Missiles	5	512000
Targeting	Long Range Targeting	3	16000
Trade	Marketing	2	4243
Production	Mass Production	3	16000
Armor	Mechanics	5	256000
Gunnery	Medium Artillery Specialization	3	40000
Gunnery	Medium Autocannon Specialization	3	40000
Gunnery	Medium Beam Laser Specialization	3	40000
Gunnery	Medium Blaster Specialization	3	40000
Drones	Medium Drone Operation	5	512000
Gunnery	Medium Energy Turret	5	768000
Gunnery	Medium Hybrid Turret	5	768000
Gunnery	Medium Projectile Turret	5	768000
Gunnery	Medium Pulse Laser Specialization	3	40000
Gunnery	Medium Railgun Specialization	3	40000
Resource Processing	Mining	4	45255
Social	Mining Connections	2	2828
Spaceship Command	Mining Frigate	4	90510
Resource Processing	Mining Upgrades	4	181019
Spaceship Command	Minmatar Battlecruiser	4	271529
Spaceship Command	Minmatar Battleship	4	362039
Spaceship Command	Minmatar Cruiser	4	226274
Spaceship Command	Minmatar Destroyer	4	90510
Drones	Minmatar Drone Specialization	2	7071
Spaceship Command	Minmatar Frigate	4	90510
Spaceship Command	Minmatar Industrial	1	1000
Missiles	Missile Bombardment	4	90510
Missiles	Missile Launcher Operation	5	256000
Missiles	Missile Projection	2	5657
Gunnery	Motion Prediction	4	90510
Navigation	Navigation	4	45255
Social	Negotiation	2	2828
Engineering	Power Grid Management	5	256000
Rigging	Projectile Weapon Rigging	3	24000
Electronic Systems	Propulsion Jamming	4	135765
Gunnery	Rapid Firing	4	90510
Missiles	Rapid Launch	4	90510
Resource Processing	Reactions	1	250
Armor	Remote Armor Repair Systems	3	16000
Armor	Remote Hull Repair Systems	2	2828
Drones	Repair Drone Operation	2	4243
Armor	Repair Systems	5	256000
Resource Processing	Reprocessing	3	8000
Missiles	Rocket Specialization	3	24000
Missiles	Rockets	5	256000
Resource Processing	Salvaging	3	24000
Science	Science	4	45255
Social	Security Connections	2	2828
Electronic Systems	Sensor Linking	3	24000
Gunnery	Sharpshooter	4	90510
Shields	Shield Compensation	4	90510
Shields	Shield Emission Systems	3	16000
Shields	Shield Management	4	135765
Shields	Shield Operation	4	45255
Rigging	Shield Rigging	3	24000
Shields	Shield Upgrades	4	90510
Targeting	Signature Analysis	3	8000
Gunnery	Small Artillery Specialization	3	24000
Gunnery	Small Autocannon Specialization	3	24000
Gunnery	Small Beam Laser Specialization	3	24000
Gunnery	Small Blaster Specialization	3	24000
Gunnery	Small Energy Turret	5	256000
Gunnery	Small Hybrid Turret	5	256000
Gunnery	Small Projectile Turret	5	256000
Gunnery	Small Pulse Laser Specialization	3	24000
Gunnery	Small Railgun Specialization	3	24000
Social	Social	3	8000
Spaceship Command	Spaceship Command	4	8000
Gunnery	Surgical Strike	4	181019
Scanning	Survey	3	8000
Shields	Tactical Shield Manipulation	4	181019
Targeting	Target Management	4	45255
Missiles	Target Navigation Prediction	3	16000
Electronic Systems	Target Painting	3	24000
Armor	Thermal Armor Compensation	2	2828
Shields	Thermal Shield Compensation	2	2828
Engineering	Thermodynamics	4	135765
Missiles	Torpedoes	4	226274
Trade	Trade	3	8000
Gunnery	Trajectory Analysis	4	226274
Missiles	Warhead Upgrades	3	40000
Navigation	Warp Drive Operation	3	8000
Electronic Systems	Weapon Disruption	4	135765
Engineering	Weapon Upgrades	5	512000
